"","Countries","X2000","X2001","X2002","X2003","X2004","X2005","X2006","X2007","X2008","X2009","X2010","X2011","X2012","X2013","X2014","X2015","X2016"
"142","Saint Kitts and Nevis","445","438","459","471","475","532","652","664","820","805","789","830","764","782","826","832","931"
"143","Saint Lucia","283","288","304","322","312","337","403","446","445","410","456","490","482","487","501","494","490"
"144","Saint Vincent and the Grenadines","136","146","157","157","163","169","175","199","214","222","234","221","244","250","244","242","250"
"145","Samoa","63","59","76","86","109","126","138","153","163","179","193","220","205","257","259","223","227"
"146","San Marino","2,044","2,072","2,113","2,354","2,953","3,018","3,190","3,726","4,306","4,177","3,974","4,267","4,010","4,018","3,879","3,146","3,013"
"147","Sao Tome and Principe","64","60","61","82","82","93","70","73","80","79","77","88","89","129","123","87","105"
"148","Saudi Arabia","384","386","368","381","399","469","554","586","595","691","703","882","1,017","1,113","1,285","1,244","1,147"
"149","Senegal","21","24","26","35","42","36","38","39","47","48","49","55","54","59","60","51","53"
"150","Serbia","57","112","173","230","274","308","372","547","673","576","545","619","560","628","609","491","494"
"151","Seychelles","354","336","351","385","411","407","418","372","276","239","380","391","506","497","490","492","597"
"152","Sierra Leone","23","25","29","29","29","32","34","36","40","43","44","59","60","82","140","120","86"
"153","Singapore","821","707","752","829","829","863","946","1,085","1,275","1,319","1,502","1,687","1,848","2,099","2,215","2,302","2,462"
"154","Slovakia","204","212","254","344","519","601","729","1,029","1,252","1,315","1,295","1,351","1,320","1,370","1,288","1,108","1,179"
"155","Slovenia","797","826","945","1,203","1,369","1,449","1,542","1,794","2,171","2,117","2,015","2,145","1,975","2,055","2,060","1,775","1,834"
"156","Solomon Islands","50","64","59","56","68","93","91","92","97","91","94","123","109","110","120","103","106"
"157","South Africa","222","195","169","254","323","354","362","386","372","413","540","597","580","526","510","471","428"
"158","Spain","1,003","1,044","1,169","1,633","1,915","2,052","2,228","2,589","2,968","2,914","2,778","2,899","2,590","2,630","2,671","2,352","2,390"
